STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2001,,108000,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2000,,106130,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1999,,102830,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1998,,99280,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1997,,94033,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1996,,92416,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1995,,91158,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1994,,89477,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,1993,,86854,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2017,,106940,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2016,,105967,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2015,,107070,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2014,,108190,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2013,,105360,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2012,,110141,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2011,,109970,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2010,,109388,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2009,,113430,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2008,,113010,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2007,,112080,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2006,,109920,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2005,,109420,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,BEL,Belgium,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2004,,109690,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2004,,468000,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2003,,463000,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2002,,470000,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2001,,458000,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,CARS,Passenger cars,_T,Total,2000,,472000,,A,Normal value,6,Millions,1,One
